CountryID,CountryName,LeaderName,LeaderTitle
1,Bangladesh,"Sheikh Hasina","Prime Minister"
2,Comoros,"Azali Assoumani",President
3,Egypt,"Abdel Fattah el-Sisi",President
4,Mauritius,"Pravind Jugnauth","Prime Minister"
5,Netherlands,"Mark Rutte","Prime Minister"
6,Nigeria,"Bola Ahmed Tinubu",President
7,Oman,"Haitham bin Tariq",Sultan
8,Rwanda,"Paul Kagame",President
9,Singapore,"Lee Hsien Loong","Prime Minister"
10,Spain,"Pedro Sánchez","Prime Minister"
11,"United Arab Emirates","Mohamed bin Zayed Al Nahyan",President
