EventID,SummitID,EventName,EventDate,EventLocation
1,18,"1st Sherpa meeting",2022-12-13,Udaipur
2,18,"1st Finance & Central Bank Deputies Meeting",2022-12-13,Bengaluru
3,18,"1st Development Working Group Meeting",2022-12-16,Mumbai
4,18,"1st Framework Working Group Meeting",2022-12-20,Bengaluru
5,18,"1st Joint Finance and Health Task Force Meeting",2023-01-09,"Virtual mode"
6,18,"1st Meeting for the Global Partnership for Financial Inclusion",2023-01-16,Kolkata
7,18,"1st Infrastructure Working Group Meeting",2023-01-18,Pune
8,18,"1st Health Working Group Meeting",2023-01-30,Thiruvananthapuram
9,18,"1st International Financial Architecture Working Group Meeting",2023-02-02,Chandigarh
10,18,"1st Education Working Group Meeting",2023-01-31,Chennai
11,18,"1st Employment Working Group Meeting",2023-02-02,Jodhpur
12,18,"1st Sustainable Finance Working Group Meeting",2023-02-05,Guwahati
13,18,"1st Energy Transitions Working Group Meeting",2023-02-07,Bengaluru
14,18,"1st Tourism Working Group Meeting",2023-02-09,"Rann of Kutch"
15,18,"1st Environment and Climate Working Group Meeting",2023-02-13,Bengaluru
16,18,"1st Agriculture Working Group Meeting",2023-02-13,Indore
17,18,"1st DEWG – Seminar on Digital Inclusion & Excursion",2023-02-22,Lucknow
18,18,"1st FMCBG and 2nd FCBD Meeting",2023-02-23,Bengaluru
19,18,"1st Culture Working Group Meeting",2023-03-01,Khajuraho
20,18,"G20 Foreign Ministers Meeting",2023-03-01,Delhi
21,18,"1st Anti-Corruption Working Group Meeting",2023-03-06,Gurugram
22,18,"2nd Meeting for the Global Partnership for Financial Inclusion",2023-03-15,Hyderabad
23,18,"2nd Education Working Group Meeting",2023-03-20,Amritsar
24,18,"2nd Joint Finance-Health Task Force Meeting",2023-03-21,"Virtual mode"
25,18,"2nd Sustainable Finance Working Group Meeting",2023-03-24,Udaipur
26,18,"2nd Framework Working Group Meeting",2023-03-27,Chennai
27,18,"2nd Environment and Climate Working Group Meeting",2023-03-28,Gandhinagar
28,18,"1st Trade & Investment Working Group Meeting",2023-03-29,Mumbai
29,18,"2nd Agriculture Working Group Meeting",2023-03-30,Visakhapatnam
30,18,"1st Disaster Management Working Group Meeting",2023-03-30,Chandigarh
31,18,"1st Disaster Management Working Group Meeting",2023-03-30,Gandhinagar
32,18,"2nd Sherpa Meeting",2023-03-30,Kumarakom
33,18,"2nd International Financial Architecture Working Group Meeting",2023-04-01,Paris
34,18,"2nd Tourism Working Group Meeting",2023-04-02,Siliguri/Darjeeling
35,18,"2nd Energy Working Group Meeting",2023-04-03,Gandhinagar
36,18,"2nd Employment Working Group Meeting",2023-04-06,Guwahati
37,18,"2nd Development Working Group Meeting",2023-06-11,"New Delhi"
38,18,"Development Ministers Meeting",2023-06-12,Varanasi
